% _Annual_D-N__________________ L-OTI(^S^o^N^C) Change 1957-2020                  
%   i   j     lon     lat    array(i,j)
  81   3  -19.00  -85.00        0.5435
  82   3  -17.00  -85.00        0.5435
  83   3  -15.00  -85.00        0.5435
  84   3  -13.00  -85.00        0.5435
  85   3  -11.00  -85.00        0.5435
  86   3   -9.00  -85.00        0.5435
  87   3   -7.00  -85.00        0.5435
  88   3   -5.00  -85.00        0.5435
  89   3   -3.00  -85.00        0.5435
  90   3   -1.00  -85.00        0.5435
  91   3    1.00  -85.00        0.5435
  92   3    3.00  -85.00        0.5435
  93   3    5.00  -85.00        0.5435
  94   3    7.00  -85.00        0.5435
  95   3    9.00  -85.00        0.5435
  96   3   11.00  -85.00        0.5435
  97   3   13.00  -85.00        0.5435
  98   3   15.00  -85.00        0.5435
  99   3   17.00  -85.00        0.5435
 100   3   19.00  -85.00        0.5435
 101   3   21.00  -85.00        0.5435
 102   3   23.00  -85.00        0.5435
 103   3   25.00  -85.00        0.5435
 104   3   27.00  -85.00        0.5435
 105   3   29.00  -85.00        0.5435
 106   3   31.00  -85.00        0.5435
 107   3   33.00  -85.00        0.5435
 108   3   35.00  -85.00        0.5435
 109   3   37.00  -85.00        0.5435
 110   3   39.00  -85.00        0.5435
 111   3   41.00  -85.00        0.5435
 112   3   43.00  -85.00        0.5435
 113   3   45.00  -85.00        0.5435
 114   3   47.00  -85.00        0.5435
 115   3   49.00  -85.00        0.5435
 116   3   51.00  -85.00        0.5435
 117   3   53.00  -85.00        0.5435
 118   3   55.00  -85.00        0.5435
 119   3   57.00  -85.00        0.5435
 120   3   59.00  -85.00        0.5435
 121   3   61.00  -85.00        0.5435
 122   3   63.00  -85.00        0.5435
 123   3   65.00  -85.00        0.5435
 124   3   67.00  -85.00        0.5435
 125   3   69.00  -85.00        0.5435
 126   3   71.00  -85.00        0.5435
 127   3   73.00  -85.00        0.5435
 128   3   75.00  -85.00        0.5435
 129   3   77.00  -85.00        0.5435
 130   3   79.00  -85.00        0.5435
 131   3   81.00  -85.00        0.5435
 132   3   83.00  -85.00        0.5435
 133   3   85.00  -85.00        0.5435
 134   3   87.00  -85.00        0.5435
 135   3   89.00  -85.00        0.5435
 136   3   91.00  -85.00        0.5435
 137   3   93.00  -85.00        0.5435
 138   3   95.00  -85.00        0.5435
 139   3   97.00  -85.00        0.5435
 140   3   99.00  -85.00        0.5435
 141   3  101.00  -85.00        0.5435
 142   3  103.00  -85.00        0.5435
 143   3  105.00  -85.00        0.5435
 144   3  107.00  -85.00        0.5435
 145   3  109.00  -85.00        0.5435
 146   3  111.00  -85.00        0.5435
 147   3  113.00  -85.00        0.5435
 148   3  115.00  -85.00        0.5435
 149   3  117.00  -85.00        0.5435
 150   3  119.00  -85.00        0.5435
 151   3  121.00  -85.00        0.5435
 152   3  123.00  -85.00        0.5435
 153   3  125.00  -85.00        0.5435
 154   3  127.00  -85.00        0.5435
 155   3  129.00  -85.00        0.5435
 156   3  131.00  -85.00        0.5435
 157   3  133.00  -85.00        0.5435
 158   3  135.00  -85.00        0.5435
 159   3  137.00  -85.00        0.5435
 160   3  139.00  -85.00        0.5435
 161   3  141.00  -85.00        0.5435
 162   3  143.00  -85.00        0.5435
 163   3  145.00  -85.00        0.5435
 164   3  147.00  -85.00        0.5435
 165   3  149.00  -85.00        0.5435
 166   3  151.00  -85.00        0.5435
 167   3  153.00  -85.00        0.5435
 168   3  155.00  -85.00        0.5435
 169   3  157.00  -85.00        0.5435
 170   3  159.00  -85.00        0.5435
 171   3  161.00  -85.00        0.5435
 172   3  163.00  -85.00        0.5435
 173   3  165.00  -85.00        0.5435
 174   3  167.00  -85.00        0.5435
 175   3  169.00  -85.00        0.5435
 176   3  171.00  -85.00        0.5435
 177   3  173.00  -85.00        0.5435
 178   3  175.00  -85.00        0.5435
 179   3  177.00  -85.00        0.5435
 180   3  179.00  -85.00        0.5435
   1   4 -179.00  -83.00        0.5435
   2   4 -177.00  -83.00        0.5435
   3   4 -175.00  -83.00        0.5435
   4   4 -173.00  -83.00        0.5435
   5   4 -171.00  -83.00        0.5435
   6   4 -169.00  -83.00        0.5435
   7   4 -167.00  -83.00        0.5435
   8   4 -165.00  -83.00        0.5435
   9   4 -163.00  -83.00        0.5435
  10   4 -161.00  -83.00        0.5435
  11   4 -159.00  -83.00        0.5435
  12   4 -157.00  -83.00        0.5435
  13   4 -155.00  -83.00        0.5435
  14   4 -153.00  -83.00        0.5435
  15   4 -151.00  -83.00        0.5435
  16   4 -149.00  -83.00        0.5435
  17   4 -147.00  -83.00        0.5435
  18   4 -145.00  -83.00        0.5435
  19   4 -143.00  -83.00        0.5435
  20   4 -141.00  -83.00        0.5435
  21   4 -139.00  -83.00        0.5435
  22   4 -137.00  -83.00        0.5435
  23   4 -135.00  -83.00        0.5435
  24   4 -133.00  -83.00        0.5435
  25   4 -131.00  -83.00        0.5435
  26   4 -129.00  -83.00        0.5435
  27   4 -127.00  -83.00        0.5435
  28   4 -125.00  -83.00        0.5435
  29   4 -123.00  -83.00        0.5435
  30   4 -121.00  -83.00        0.5435
  31   4 -119.00  -83.00        0.5435
  32   4 -117.00  -83.00        0.5435
  33   4 -115.00  -83.00        0.5435
  34   4 -113.00  -83.00        0.5435
  35   4 -111.00  -83.00        0.5435
  36   4 -109.00  -83.00        0.5435
  37   4 -107.00  -83.00        0.5435
  38   4 -105.00  -83.00        0.5435
  39   4 -103.00  -83.00        0.5435
  40   4 -101.00  -83.00        0.5435
  41   4  -99.00  -83.00        0.5435
  42   4  -97.00  -83.00        0.5435
  43   4  -95.00  -83.00        0.5435
  44   4  -93.00  -83.00        0.5435
  45   4  -91.00  -83.00        0.5435
  46   4  -89.00  -83.00        0.5435
  47   4  -87.00  -83.00        0.5435
  48   4  -85.00  -83.00        0.5435
  49   4  -83.00  -83.00        0.5435
  50   4  -81.00  -83.00        0.5435
  51   4  -79.00  -83.00        0.5435
  52   4  -77.00  -83.00        0.5435
  53   4  -75.00  -83.00        0.5435
  54   4  -73.00  -83.00        0.5435
  55   4  -71.00  -83.00        0.5435
  56   4  -69.00  -83.00        0.5435
  57   4  -67.00  -83.00        0.5435
  58   4  -65.00  -83.00        0.5435
  59   4  -63.00  -83.00        0.5435
  60   4  -61.00  -83.00        0.5435
  61   4  -59.00  -83.00        0.5435
  62   4  -57.00  -83.00        0.5435
  63   4  -55.00  -83.00        0.5435
  64   4  -53.00  -83.00        0.5435
  65   4  -51.00  -83.00        0.5435
  66   4  -49.00  -83.00        0.5435
  67   4  -47.00  -83.00        0.5435
  68   4  -45.00  -83.00        0.5435
  69   4  -43.00  -83.00        0.5435
  70   4  -41.00  -83.00        0.5435
  71   4  -39.00  -83.00        0.5435
  72   4  -37.00  -83.00        0.5435
  73   4  -35.00  -83.00        0.5435
  74   4  -33.00  -83.00        0.5435
  75   4  -31.00  -83.00        0.5435
  76   4  -29.00  -83.00        0.5435
  77   4  -27.00  -83.00        0.5435
  78   4  -25.00  -83.00        0.5435
  79   4  -23.00  -83.00        0.5435
  80   4  -21.00  -83.00        0.5435
  81   4  -19.00  -83.00        0.5435
  82   4  -17.00  -83.00        0.5435
  83   4  -15.00  -83.00        0.5435
  84   4  -13.00  -83.00        0.5435
  85   4  -11.00  -83.00        0.5435
  86   4   -9.00  -83.00        0.5435
  87   4   -7.00  -83.00        0.5435
  88   4   -5.00  -83.00        0.5435
  89   4   -3.00  -83.00        0.5435
  90   4   -1.00  -83.00        0.5435
  91   4    1.00  -83.00        0.5435
  92   4    3.00  -83.00        0.5435
  93   4    5.00  -83.00        0.5435
  94   4    7.00  -83.00        0.5435
  95   4    9.00  -83.00        0.5435
  96   4   11.00  -83.00        0.5435
  97   4   13.00  -83.00        0.5435
  98   4   15.00  -83.00        0.5435
  99   4   17.00  -83.00        0.5435
 100   4   19.00  -83.00        0.5435
 101   4   21.00  -83.00        0.5435
 102   4   23.00  -83.00        0.5435
 103   4   25.00  -83.00        0.5435
 104   4   27.00  -83.00        0.5435
 105   4   29.00  -83.00        0.5435
 106   4   31.00  -83.00        0.5435
 107   4   33.00  -83.00        0.5435
 108   4   35.00  -83.00        0.5435
 109   4   37.00  -83.00        0.5435
 110   4   39.00  -83.00        0.5435
 111   4   41.00  -83.00        0.5435
 112   4   43.00  -83.00        0.5435
 113   4   45.00  -83.00        0.5435
 114   4   47.00  -83.00        0.5435
 115   4   49.00  -83.00        0.5435
 116   4   51.00  -83.00        0.5435
 117   4   53.00  -83.00        0.5435
 118   4   55.00  -83.00        0.5435
 119   4   57.00  -83.00        0.5435
 120   4   59.00  -83.00        0.5435
 121   4   61.00  -83.00        0.5435
 122   4   63.00  -83.00        0.5435
 123   4   65.00  -83.00        0.5435
 124   4   67.00  -83.00        0.5435
 125   4   69.00  -83.00        0.5435
 126   4   71.00  -83.00        0.5435
 127   4   73.00  -83.00        0.5435
 128   4   75.00  -83.00        0.5435
 129   4   77.00  -83.00        0.5435
 130   4   79.00  -83.00        0.5435
 131   4   81.00  -83.00        0.5435
 132   4   83.00  -83.00        0.5435
 133   4   85.00  -83.00        0.5435
 134   4   87.00  -83.00        0.5435
 135   4   89.00  -83.00        0.5435
 136   4   91.00  -83.00        0.5435
 137   4   93.00  -83.00        0.5435
 138   4   95.00  -83.00        0.5435
 139   4   97.00  -83.00        0.5435
 140   4   99.00  -83.00        0.5435
 141   4  101.00  -83.00        0.5435
 142   4  103.00  -83.00        0.5435
 143   4  105.00  -83.00        0.5435
 144   4  107.00  -83.00        0.5435
 145   4  109.00  -83.00        0.5435
 146   4  111.00  -83.00        0.5435
 147   4  113.00  -83.00        0.5435
 148   4  115.00  -83.00        0.5435
 149   4  117.00  -83.00        0.5435
 150   4  119.00  -83.00        0.5435
 151   4  121.00  -83.00        0.5435
 152   4  123.00  -83.00        0.5435
 153   4  125.00  -83.00        0.5435
 154   4  127.00  -83.00        0.5435
 155   4  129.00  -83.00        0.5435
 156   4  131.00  -83.00        0.5435
 157   4  133.00  -83.00        0.5435
 158   4  135.00  -83.00        0.5435
 159   4  137.00  -83.00        0.5435
 160   4  139.00  -83.00        0.5435
 161   4  141.00  -83.00        0.5435
 162   4  143.00  -83.00        0.5435
 163   4  145.00  -83.00        0.5435
 164   4  147.00  -83.00        0.5435
 165   4  149.00  -83.00        0.5435
